URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://ltc-ig.fhir.tw/ValueSet/AddressUseVS-TWLTC,0.3.0,active,,AddressUseVSTWLTC,地址用途擴展值集,"地址的用途，新增戶籍地與現居地等代碼",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/ConditionDisabilityTypeVS-TWLTC,0.3.0,active,,ConditionDisabilityTypeVSTWLTC,身心障礙類型值集,"個案身心障礙類型",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/ConditionDisabilityVS-TWLTC,0.3.0,active,,ConditionDisabilityVSTWLTC,身心障礙手冊持有狀況值集,"個案持有身心障礙手冊的狀況",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/ConditionSeverityVS-TWLTC,0.3.0,active,,ConditionSeverityVSTWLTC,疾病嚴重度擴展值集,"用以表述疾病嚴重度之擴展值集，包含疾病嚴重度之描述內容。配合身心障礙手冊障礙程度分級，包含輕度、中度、重度、極重度等代碼。",,"SCT"
http://ltc-ig.fhir.tw/ValueSet/EconomyStatusVS-TWLTC,0.3.0,active,,EconomyStatusVSTWLTC,個案經濟狀況值集,"用以表述個案經濟狀況之值集，包含個案經濟狀況之描述內容。",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/EducationStatusVS-TWLTC,0.3.0,active,,EducationStatusVSTWLTC,教育程度值集,"用以表述教育程度之值集，包含教育程度之描述內容。",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/ExerciseHistoryVS-Sport,0.3.0,active,,ExerciseHistoryVSSport,身體活動量測-最近(目前)運動史值集,"最近(目前)運動史。本 ValueSet 繼承自身體活動量測 IG，後續將配合原始 IG 進行更新。",,"SCT"
http://ltc-ig.fhir.tw/ValueSet/FallHistoryResultVS-TWLTC,0.3.0,active,,FallHistoryResultVSTWLTC,跌倒紀錄結果值集,"紀錄住民跌倒的偵測結果。",,"LOINC"
http://ltc-ig.fhir.tw/ValueSet/GaitCycleVS-Sport,0.3.0,active,,GaitCycleVSSport,身體活動量測-步態週期值集,"一個步伐的完整過程，從一隻腳接觸地面開始到同一隻腳再次接觸地面結束。這個過程可以分為兩個主要階段：支撐期（stance phase）和擺動期（swing phase）。本 ValueSet 繼承自身體活動量測 IG，後續將配合原始 IG 進行更新。",,"Internal"
http://ltc-ig.fhir.tw/ValueSet/GaitTypeVS-Sport,0.3.0,active,,GaitTypeVSSport,身體活動量測-步態分析值集,"用於描述步態（walking gait）時腳的着地位置和運動模式。本 ValueSet 繼承自身體活動量測 IG，後續將配合原始 IG 進行更新。",,"SCT"
